Data,compound
2023-03-26,-0.1468
2023-03-27,0.10481739130434783
2023-03-28,0.12449444444444444
2023-03-29,0.174785
2023-03-30,0.08620799999999999
2023-03-31,0.24606875
2023-04-01,0.21230000000000002
2023-04-02,0.6369
2023-04-03,0.020756666666666663
2023-04-04,0.2508142857142857
2023-04-05,0.09066451612903226
2023-04-06,-0.02776333333333333
2023-04-07,0.0
2023-04-08,-0.01835
2023-04-09,0.24114
2023-04-10,0.09271764705882353
2023-04-11,0.09162631578947368
2023-04-12,-0.054474999999999996
2023-04-13,0.08171153846153846
2023-04-14,0.049916666666666665
2023-04-15,0.024711111111111114
2023-04-16,0.10633636363636363
2023-04-17,0.035055
2023-04-18,0.027911764705882348
2023-04-19,0.02830000000000001
2023-04-20,0.09945714285714286
2023-04-21,0.08252857142857142
